epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,694.894,0.86017,0.65184,0.89764,0.99185,1,0.995,0.84073,0.71904,0.52161,0.91836,0.0110262,0.00502618,0.00502618
96,702.385,1.01894,0.76408,1.02019,0.99145,1,0.995,0.84431,0.56517,0.44858,0.845,0.0100326,0.00503263,0.00503263
97,709.599,0.5422,0.40869,0.82081,0.99145,1,0.995,0.84431,0.56517,0.44858,0.845,0.00903808,0.00503808,0.00503808
98,716.74,0.7222,0.5205,0.90129,0.99145,1,0.995,0.84431,0.56517,0.44858,0.845,0.00804254,0.00504255,0.00504255
99,723.977,0.70657,0.48386,0.88755,0.99145,1,0.995,0.84431,0.56517,0.44858,0.845,0.00704602,0.00504602,0.00504602
100,731.145,0.68021,0.43585,0.80423,0.99443,1,0.995,0.85215,0.68084,0.83593,0.90953,0.00604851,0.0050485,0.0050485
101,738.287,0.62351,0.51135,0.89166,0.99443,1,0.995,0.85215,0.68084,0.83593,0.90953,0.00505,0.00505,0.00505
102,745.718,0.64043,0.52295,0.89765,0.99443,1,0.995,0.85215,0.68084,0.83593,0.90953,0.0050005,0.0050005,0.0050005
103,752.941,0.65889,0.53278,0.89421,0.99443,1,0.995,0.85215,0.68084,0.83593,0.90953,0.004951,0.004951,0.004951
104,760.073,0.68015,0.46869,0.87299,0.99272,1,0.995,0.86175,0.58478,0.46194,0.86129,0.0049015,0.0049015,0.0049015
105,767.264,0.92466,0.48159,0.9741,0.99272,1,0.995,0.86175,0.58478,0.46194,0.86129,0.004852,0.004852,0.004852
106,774.93,0.71099,0.4826,0.89976,0.99272,1,0.995,0.86175,0.58478,0.46194,0.86129,0.0048025,0.0048025,0.0048025
107,782.167,0.72262,0.4286,0.84851,0.99272,1,0.995,0.86175,0.58478,0.46194,0.86129,0.004753,0.004753,0.004753
108,789.805,0.65876,0.45851,0.896,0.99139,1,0.995,0.84552,0.63922,0.42574,0.87292,0.0047035,0.0047035,0.0047035
109,797.683,0.56351,0.42096,0.85973,0.99139,1,0.995,0.84552,0.63922,0.42574,0.87292,0.004654,0.004654,0.004654
110,805.43,0.71089,0.47967,0.85419,0.99139,1,0.995,0.84552,0.63922,0.42574,0.87292,0.0046045,0.0046045,0.0046045
111,813.367,0.70451,0.49887,0.86232,0.99139,1,0.995,0.84552,0.63922,0.42574,0.87292,0.004555,0.004555,0.004555
112,821.68,0.57975,0.41832,0.8863,0.99361,1,0.995,0.83766,0.64314,0.44767,0.8749,0.0045055,0.0045055,0.0045055
113,829.453,0.55121,0.37389,0.88116,0.99361,1,0.995,0.83766,0.64314,0.44767,0.8749,0.004456,0.004456,0.004456
114,837.022,0.63228,0.47371,0.87652,0.99361,1,0.995,0.83766,0.64314,0.44767,0.8749,0.0044065,0.0044065,0.0044065
115,844.384,0.58397,0.36376,0.84498,0.99361,1,0.995,0.83766,0.64314,0.44767,0.8749,0.004357,0.004357,0.004357
116,851.818,0.62599,0.38842,0.84848,0.99511,1,0.995,0.86381,0.52456,0.41376,0.82911,0.0043075,0.0043075,0.0043075
117,858.994,0.66087,0.42595,0.83592,0.99511,1,0.995,0.86381,0.52456,0.41376,0.82911,0.004258,0.004258,0.004258
118,866.223,0.5398,0.40484,0.85669,0.99511,1,0.995,0.86381,0.52456,0.41376,0.82911,0.0042085,0.0042085,0.0042085
119,873.483,0.58715,0.42116,0.846,0.99511,1,0.995,0.86381,0.52456,0.41376,0.82911,0.004159,0.004159,0.004159
120,880.966,0.67531,0.42803,0.8348,0.99484,1,0.995,0.83749,0.69988,0.49829,0.91177,0.0041095,0.0041095,0.0041095
121,888.275,0.68489,0.45293,0.89243,0.99484,1,0.995,0.83749,0.69988,0.49829,0.91177,0.00406,0.00406,0.00406
122,895.438,0.67438,0.44849,0.91236,0.99484,1,0.995,0.83749,0.69988,0.49829,0.91177,0.0040105,0.0040105,0.0040105
123,902.681,0.67917,0.42737,0.85764,0.99484,1,0.995,0.83749,0.69988,0.49829,0.91177,0.003961,0.003961,0.003961
124,910.12,0.71417,0.39649,0.87494,0.99403,1,0.995,0.86397,0.53467,0.39759,0.83398,0.0039115,0.0039115,0.0039115
125,917.388,0.71043,0.42962,0.86072,0.99403,1,0.995,0.86397,0.53467,0.39759,0.83398,0.003862,0.003862,0.003862
126,924.616,0.57539,0.40915,0.87792,0.99403,1,0.995,0.86397,0.53467,0.39759,0.83398,0.0038125,0.0038125,0.0038125
